,ticker,cik
4116,a,0001090872
2910,aa,0001675149
4191,aacg,0001420529
3827,aacq,0001802457
3262,aaic,0001209028
1130,aal,0000006201
532,aamc,0001555074
4657,aame,0000008177
2741,aan,0001808834
5381,aaoi,0001158114
4900,aaon,0000824142
2221,aap,0001158449
3026,aapl,0000320193
134,aat,0001500217
350,aau,0001015647
1350,aaww,0001135185
201,aaxn,0001069183
5887,ab,0000825313
5077,abb,0001091587
5427,abbv,0001551152
1671,abc,0001140859
5932,abcb,0000351569
3954,abcm,0001492074
3811,abeo,0000318306
4542,abev,0001565025
2166,abg,0001144980
3183,abio,0000907654
5799,abm,0000771497
1751,abmd,0000815094
5599,abr,0001253986
4201,abst,0001071058
4570,abt,0000001800
4716,abtx,0001642081
690,abus,0001447028
4291,ac,0001642122
3998,aca,0001739445
3013,acacu,0001823878
4870,acad,0001070494
4608,acam,0001759008
5318,acb,0001683541
2821,acbi,0001461755
4532,acc,0001283630
5775,accd,0001481646
130,acco,0000712034
2065,acel,0001698991
1186,acer,0001069308
17,acet,0001720580
116,acev,0001813658
5044,acgl,0000947484
5064,ach,0001161611
4124,achc,0001520697
251,achv,0000949858
3194,aci,0001646972
5929,acia,0001651235
5181,aciu,0001651625
5861,aciw,0000935036
1041,acls,0001113232
3135,acm,0000868857
1934,acmr,0001680062
3506,acn,0001467373
3978,acnb,0000715579
5239,acnd,0001805651
1430,acor,0001008848
4413,acp,0001503290
4411,acre,0001529377
4563,acrs,0001557746
4939,acrx,0001427925
1519,acst,0001444192
2884,actcu,0001820630
2348,actg,0000934549
3957,acu,0000002098
1774,acv,0001636289
1884,acy,0001036848
741,adap,0001621227
1100,adbe,0000796343
5516,adc,0000917251
5688,adct,0001771910
1763,ades,0001515156
5702,adi,0000006281
389,adil,0001513525
1445,adm,0000007084
3591,adma,0001368514
5459,admp,0000887247
1459,adms,0001328143
1610,adnt,0001670541
5942,adp,0000008670
3430,adpt,0001478320
5014,ads,0001101215
4964,adsk,0000769397
2174,adt,0001703056
1786,adtn,0000926282
279,adtx,0001726711
3053,adus,0001468328
4066,adv,0001776661
2246,advm,0001501756
5198,adx,0000002230
1537,adxn,0001574232
242,adxs,0001100397
3758,ae,0000002178
3661,aee,0001002910
785,aef,0000846676
3465,aeg,0000769218
5010,aegn,0000353020
917,aehl,0001470683
3605,aehr,0001040470
1918,aeis,0000927003
4343,ael,0001039828
3427,aem,0000002809
5909,aemd,0000882291
1008,aeo,0000919012
2304,aep,0000004904
4150,aer,0001378789
5335,aeri,0001337553
4876,aes,0000874761
2220,aese,0001708341
4908,aey,0000874292
5470,aeye,0001362190
3526,aezs,0001113423
2430,afb,0001162027
1403,afc,0001287750
5917,afg,0001042046
4251,afi,0001655075
5453,afib,0001522860
4902,afin,0001568162
2281,afl,0000004977
3104,afmd,0001608390
5217,aft,0001502573
5542,afya,0001771007
4287,ag,0001308648
5007,agba,0001769624
4797,agco,0000880266
2573,agcuu,0001823340
4152,agd,0001362481
2445,age,0001708599
1597,agen,0001098972
5841,agfs,0001592016
2507,agi,0001178819
5284,agio,0001439222
4780,agle,0001636282
2382,agm,0000845877
2510,agmh,0001705402
4431,agnc,0001423689
3052,ago,0001273813
42,agr,0001634997
192,agro,0001499505
4615,agrx,0001261249
1079,ags,0001593548
2842,agtc,0001273636
2177,agx,0000100591
2830,agys,0000078749
4693,ahacu,0001818382
1589,ahc,0001413898
3198,ahco,0001725255
4610,ahh,0001569187
2252,ahi,0001614824
1204,ahpi,0000874710
2535,aht,0001232582
1262,aif,0001526697
4727,aig,0000005272
1092,aih,0001757143
4667,aihs,0001711012
2954,aiki,0000012239
4167,aim,0000946644
1163,aimc,0001374535
4951,ain,0000819793
5725,ainc,0001604738
4076,ainv,0001278752
5902,aio,0001778114
155,air,0000001750
666,airg,0001272842
2279,airi,0001009891
118,airt,0000353184
2441,ait,0000109563
3355,aiv,0000922864
5617,aiz,0001267238
4840,ajg,0000354190
4103,ajrd,0000040888
414,ajx,0001614806
5546,akam,0001086222
2087,akba,0001517022
3371,aker,0001321834
4331,akr,0000899629
4856,akro,0001744659
2024,akts,0001584754
2401,aktx,0001541157
1108,aku,0001776197
5337,akus,0001722271
4886,al,0001487712
2783,alac,0001748621
5667,alb,0000915913
3407,albo,0001322505
578,alc,0001167379
3283,alco,0000003545
4060,aldx,0001341235
1141,ale,0000066756
1355,alec,0001653087
4627,alex,0001545654
875,alg,0000897077
4731,algm,0000866291
3192,algn,0001097149
3413,algs,0001799448
3389,algt,0001362468
2762,alim,0001267602
1805,aljj,0001438731
5406,alk,0000766421
4312,alks,0001520262
2795,all,0000899051
2138,alle,0001579241
4016,allk,0001564824
3886,allo,0001737287
2195,allt,0001365767
3521,ally,0000040729
2366,alna,0001624658
3558,alny,0001178670
5926,alot,0000008146
39,alpn,0001626199
2694,alrm,0001459200
3697,alrn,0001420565
3805,alrs,0000903419
4600,alsk,0001089511
4732,alsn,0001411207
4161,alt,0001326190
1258,alta,0001636286
4519,altg,0001759824
565,altm,0001692787
1678,altr,0001701732
5212,altuu,0001822366
2387,alus,0001781115
2723,alv,0001034670
727,alvr,0001754068
1539,alx,0000003499
5836,alxn,0000899866
858,alxo,0001810182
1333,alya,0001734520
5193,am,0001623925
1032,amag,0000792977
4644,amal,0001823608
2851,amat,0000006951
4508,amba,0001280263
2546,ambc,0000874501
4236,ambo,0001494558
230,amc,0001411579
4288,amci,0001744494
833,amcr,0001748790
816,amcx,0001514991
1835,amd,0000002488
239,ame,0001037868
5083,amed,0000896262
4512,ameh,0001083446
265,amg,0001004434
4168,amgn,0000318154
1275,amh,0001562401
3022,amhc,0001788028
1846,amk,0001591587
5414,amkr,0001047127
941,amn,0001142750
455,amnb,0000741516
1264,amot,0000046129
572,amov,0001129137
3724,amp,0000820027
5058,ampe,0001411906
3382,amph,0001297184
1788,ampy,0001533924
150,amrb,0001108236
2845,amrc,0001488139
665,amrh,0000890821
1119,amrk,0001591588
5438,amrn,0000897448
2193,amrs,0001365916
5817,amrx,0001723128
442,ams,0000744825
3364,amsc,0000880807
1028,amsf,0001018979
3851,amst,0001807166
3901,amswa,0000713425
445,amt,0001053507
4084,amtb,0001734342
2804,amti,0001801777
4321,amtx,0000738214
69,amwd,0000794619
887,amwl,0001393584
1665,amyt,0001783010
1388,amzn,0001018724
5471,an,0000350698
1296,anab,0001370053
464,anat,0001801075
109,ancn,0001534248
5754,andau,0001691936
4255,ande,0000821026
898,anet,0001596532
1628,anf,0001018840
5479,angi,0001705110
822,ango,0001275187
3975,anh,0001047884
1269,anik,0000898437
4074,anip,0001023024
1309,anix,0000715446
1649,annx,0001528115
1640,anpc,0001786511
294,anss,0001013462
968,ante,0001413745
1414,antm,0001156039
1769,anvs,0001477845
4002,any,0001591956
5563,aod,0001379400
5008,aon,0000315293
3381,aos,0000091142
4535,aosl,0001387467
4849,aout,0001808997
3787,ap,0000006176
